團體名稱,團體類型,成立日期,理事長,社團狀態,會址電話,核准立案字號,會址
中華民國臺陽美術協會,社會團體,023/12/07,吳隆榮,已立案,02-2531-9923,775527,104臺北市中山區104新生北路二段137巷52號4樓
中華獸醫腎臟專科醫學會,社會團體,101/01/08,譚大倫,已立案,02-27815203,1010149803,105臺北市松山區福成里市民大道四段77號1樓
中華龍山奉天佛母寺文化道教會,社會團體,100/12/04,劉織,已立案,049-2750142,1010083556,558南投縣鹿谷鄉內湖村坪峰巷35-1號
臺灣退休規劃暨健康管理推廣協會,社會團體,096/11/10,李傳彩,已立案,,0960189934,114臺北市內湖區康寧路3段70巷115號3樓
中華民國幸福促進協會,社會團體,101/08/12,林耿立,已立案,02-8789-4477,1010308454,110臺北市信義區110松德路108號
中華民國華揚易經協會,社會團體,096/06/30,黃瓊華,已立案,02-29787180,0960114744,241新北市三重區仁愛街53巷139號
台灣經濟資源永續發展協會,社會團體,088/10/03,呂鳳英,已立案,02-82522078,8835273,201基隆市信義區信二路174巷106號
中華民國美容美髮學會,社會團體,079/09/06,陳漢東,已立案,02-2523-3542,840138,臺北市中山北路2段115巷43號8樓
中華民國美容時尚研究學會,社會團體,088/01/23,馬它,解散,04-2320-7730,台(88)內社字8892428號,臺中市中港路一段一五二號三樓之四
中華海峽兩岸科技教育業文化交流協會,社會團體,101/06/19,伍必中,已立案,02-23131687,1010259879,臺北市衡陽路51號11樓之1【211室】
中華大承慈善會,社會團體,100/04/02,李美苮,已立案,04-22154129,1000102894,542南投縣草屯鎮542中正路755號11樓之1(本部105.1.19動異)
中華藥膳研究會,社會團體,093/07/31,許堂仁(會長),已立案,02-2321-0279,0930033888,100臺北市中正區100紹興南街15號之1(三鱻食府B1)
臺灣學校圖書館館員學會,社會團體,095/12/02,徐澤佼,已立案,02-24278274#650,0950200182,201基隆市東信路324號國立基隆女子高級中學
中華民國作文教育學會,社會團體,087/05/03,黃偉慈,已立案,02-2630-7986,8720870,231新北市新店區北宜路1段200號1樓
中華世界禪福園身心靈發展協會,社會團體,105/06/04,林晉德,已立案,,,205基隆市暖暖區東勢街62-1號
中國土地經濟學會,社會團體,080/01/18,林子欽,已立案,02-2515-4792,,100臺北市中正區中山北路1段27號8樓
中華產學發展協會,社會團體,096/03/03,王學銘,已立案,02-23259090,0960049111,220新北市板橋區館前西路158-4號
兩岸出版交流協會,社會團體,099/08/25,沈榮裕,已立案,02-23317200,0990201468,臺北市臺北市重慶南路一段103號2樓
中華民國溪流環境協會,社會團體,079/10/22,李培芬,已立案,02-25773823,0940018474,116臺北市文山區萬安街44巷8-2號1樓
中華易道心法文化協會,社會團體,093/11/27,江特忠,已立案,06-3361596,0940064362,701臺南市東區東門路3段151號2樓
中華小丑協會,社會團體,105/07/23,姜牧呈,已立案,02-87895215,,110臺北市信義區基隆路2段23號5樓之1
台灣社會研究學會,社會團體,099/09/25,王增勇,已立案,02-22360556,0990258197,116臺北市文山區木柵路1段111號M730室
中華白陽四貴靈寶聖道會,社會團體,103/09/14,林一如,已立案,04-24851389,1030330817,412臺中市大里區益民路一段78巷34號
台灣籃球運動發展協會,社會團體,102/04/21,柯世宗,已立案,02-26881933,1020179425,238新北市樹林區三福街67巷4號1樓
中華智慧渡母林佛學中心協會,社會團體,100/05/01,王咏如,已立案,0933230083,1000143997,206基隆市七堵區長安街231巷122號1樓
中華民國彌勒大道總會,社會團體,090/09/09,談慈魁,已立案,03-5806-800,,315新竹縣峨眉鄉湖光村快樂路1號
台灣南社,社會團體,099/04/11,張復聚,已立案,07-2828899,0990097022,801高雄市前金區中正4路235號12樓之1
中華壓力容器協會,社會團體,070/09/06,古政武,已立案,06-2986139,52708,708臺南市安平區中華西路2段21號3樓
中華民國白沙屯天上聖母慈善發展協會,社會團體,106/04/09,劉寶連,已立案,04-7618413,,500彰化縣彰化市西勢街96號
台灣同伴動物扶助協會,社會團體,102/04/27,林文鮮,已立案,04-26318706,1020237943,434臺中市龍井區遠東街81巷1-66號1樓
無極三清覺修協會,社會團體,100/03/27,王清泉,已立案,06-2397247,1000074204,711臺南市歸仁區中正南路1段543號
台灣破冰專業服務協會,社會團體,102/04/27,李梅,已立案,0928-519-350,1020197336,100臺北市中正區杭州南路1段125號7樓
臺灣律於美多元教育發展協會,社會團體,100/12/31,洪雅文,已立案,04-22582101,1010075060,408臺中市南屯區大墩十二街630號
台灣物聯網產業技術協會,社會團體,105/12/20,黃崇仁,已立案,02-25762002,,105臺北市松山區八德路3段2號4樓之2
台灣氣喘諮詢協會,社會團體,098/02/07,葉國偉,已立案,03-3196200#2479,0980047598,333桃園市龜山區33305頂湖路123號3樓醫師辦公室(該會於104年7月16日函報內政部異動備查)
中華民國汽車貨櫃貨運商業同業公會全國聯合會,職業團體,100/03/24,蔡錦明,已立案,02-23702103,1000008161,臺北市忠孝西路一段41號14樓之13
台灣多元社會福利協會,社會團體,106/04/25,林政緯,已立案,02-28927001,,112臺北市北投區大興街55號地下1樓之9
中華采尼思文教藝術發展協會,社會團體,105/05/14,黃彥豪,已立案,04-22395829,,406臺中市北屯區軍榮一街28號6樓之9
台灣愛樂協會,社會團體,093/06/30,葉欣雲,已立案,04-2260-3977,0930027908,臺中市忠明南路789號37樓
臺灣綠能文創協會,社會團體,105/08/15,丘周剛,已立案,04-23202560,1050060586,408臺中市南屯區文心路1段476號
台灣美容植牙醫學會,社會團體,099/09/17,王宏仁,已立案,02-87731234,0990205970,105臺北市松山區10552復興北路73號2樓
國際廚師交流協會,社會團體,105/06/20,周明村,已立案,0956-289666,,251新北市淡水區新市五路1段158號9樓
中華民國佛教內明共修會,社會團體,085/01/27,何順正,已立案,02-2822-5036,8505213,112臺北市北投區石牌路2段62號2樓
臺灣疼惜地球家園護生協會,社會團體,105/06/19,楊憲宏,已立案,,,231新北市新店區三民路117巷3弄5號2樓
中華悅齡長照關懷協會,社會團體,106/03/19,李紹誠,已立案,02-22540191,1060026203,235新北市中和區板南路661號8樓
中華樂活農業協會,社會團體,095/03/12,謝世銘,已立案,02-25316697,0950047410,100臺北市中正區100中山北路1段83巷16之1號3樓之4
台灣農業技術交流協會,社會團體,098/03/29,蕭純娟,已立案,07-6662526,0980064825,842高雄市旗山區中洲里中南街65-1號
中華民國榮民之光籃球協會,社會團體,100/04/26,李宗藩,已立案,02-2767-6805,1000106921,105臺北市松山區八德路4段91巷3弄39號7樓
聖光禪教會,社會團體,089/05/18,悟覺妙天,已立案,02-25583707,8885645,103臺北市大同區承德路1段17號8樓
中華民國建國科技大學校友會總會,社會團體,089/05/28,林誠志,已立案,04-722-4676#240,8923088,500彰化縣彰化市介壽北路一號建國技術學院技術合作發展處
中華民國空中教育學會,社會團體,065/05/16,謝俊宏,已立案,02-2775-6853,688401,106臺北市大安區光復南路100號
台灣病毒學會,社會團體,103/12/06,陳培哲,已立案,02-2312-3456轉71729,1040019317,100臺北市中正區愛國東路36號5樓
中華流動喜悅生命系統整合協會,社會團體,104/05/03,李悅寧,已立案,0937-058-289,1040037853,231新北市新店區花園一路二段10號11樓之4
臺灣尖石後山部落夢想書屋協會,社會團體,105/07/10,詹淯翔,已立案,,,204基隆市安樂區樂利三街8巷23號16樓
台灣運動產業協會,社會團體,105/07/20,徐正賢,已立案,04-22990888,,105臺北市松山區富錦街342號4樓
台灣綠色生態設施協會,社會團體,106/03/31,廖朝軒,已立案,02-2926-8570,1060034773,234新北市永和區福和路389號10樓之6
中華健康美好生活協會,社會團體,102/06/08,林佳蓉,已立案,0910-302-055/02-2371-9234,1020256392,100臺北市中正區忠孝西路1段7號11樓之3(該會於105.05.05函報內政部異動備查)
中華民國牙醫師公會全國聯合會,職業團體,071/01/10,謝尚廷,已立案,02-25000133,,104臺北市中山區104復興北路420號10樓
中華國際經貿發展協會,社會團體,101/06/24,涂咪咪,已立案,02-87712068,1010270388,106臺北市大安區敦化南路1段225號B3-15
中華盆花發展協會,社會團體,084/11/26,張滋佳,已立案,02-26575688,8435538,114臺北市內湖區新湖三路28號3樓
台灣生涯重建輔導專業協會,社會團體,106/01/14,賴淑華,已立案,02-23031097,,100臺北市中正區泉州街6巷6號4樓
中華電影學院指數協會,社會團體,106/03/04,黃慶銘,已立案,02-2591-6696,,236新北市土城區金城路三段32巷6號
自治教育推廣協會,社會團體,105/04/23,吳哲禎,已立案,05-2165175,,600嘉義市東區吳鳳南路365巷310號
台灣來去華語協會,社會團體,100/01/09,鍾鎮城,已立案,0958-631367,1000022490,813高雄市左營區洲仔北街77號12樓
國際花友會中華民國分會,社會團體,060/05/18,曾飛雲,已立案,02-2321-7692、02-2882-0091,657320,112臺北市北投區臺北郵政信箱十七之十三號
中華保險服務協會,社會團體,092/06/26,廖學茂,已立案,02-2389-0580,0920030682,臺北市忠孝西路1段41號12樓之7
臺灣縫製機械工業同業公會,職業團體,102/10/08,徐石淵,已立案,02-29865533,1025062391,241新北市三重區大智街138號2樓
臺灣省機械技師公會,職業團體,084/11/18,莊書豪,已立案,04-22580591,,408臺中市南屯區408河南路四段190巷16號
國立中央大學大氣科學學系系友會,社會團體,103/05/24,吳昇旭,已立案,02-22028608,1030229261,320桃園市中壢區中大路300號大氣系辦公室
中華民國固態磁碟技術推廣協會,社會團體,097/11/22,鄒雅婷,已立案,02-2655-7877轉2022,0970196111,115臺北市南港區115園區街3之1號9樓
中華民國健康之道協進會,社會團體,085/06/28,林宜琳,已立案,04-7360069,8523013,500彰化縣彰化市500彰鹿路108號
中華民國營建剩餘土石方資源處理商業同業公會全國聯合會,職業團體,098/05/20,陳顯章,已立案,04-22518400,,407臺中市西屯區龍門路127號
中華民國游泳教練協會,社會團體,105/07/10,林高正,已立案,0933-058-745;0934-058-745,1050053396,261宜蘭縣頭城鎮宜三路2段418巷7號1樓
中華社區照顧暨健康促進協會,社會團體,106/04/29,李後文,已立案,04-23162303,,407臺中市西屯區河南東四街42-12號
台灣雲彩全人關懷協會,社會團體,099/11/21,陳剛毅,已立案,05-5335031,1000044753,640雲林縣斗六市嘉新三路91號
台日國際扶輪親善會,社會團體,097/11/25,張瑞欽,已立案,04-23266267,0980051163,403臺中市西區大隆路20號5樓之1
美國小麥協會台北辦事處,社會團體,,陳柏元,,0,,105臺北市松山區0
中華民國普康安之華藏世界協會,社會團體,100/02/12,黃意媗,已立案,02-28210969,1000054306,112臺北市北投區致遠一路一段87號2樓
中華民國精算學會,社會團體,058/06/23,陳宏昇,已立案,02-2758-0265,8807358,110臺北市信義區基隆路1段420號6樓(該會於105年1月28日函報本部異動備查)
臺灣電競協會,社會團體,102/12/26,施文彬,已立案,02-32333213,1030077950,234新北市永和區環河西路2段209巷3號18樓之1(該會於105.5.5函報內政部異動備查)
國際巧固球總會台灣總會,社會團體,100/10/02,黃進成,已立案,07-6975784,1000217368,821高雄市路竹區國昌路548號
台灣數位有聲書推展學會,社會團體,093/01/10,王建立,已立案,02-2732-6966,0930007524,10845臺北市康定路64號5樓
中華民國大智慧養生協會,社會團體,092/12/14,曾麗朱,已立案,05-2211179,0920047485,608嘉義縣水上鄉國姓村6-1號
中國畜牧學會,社會團體,060/10/17,陳明汝,已立案,02-33664142,444880,臺北市基隆路3段155巷50號
中國夢促進會,社會團體,104/05/15,駱宏賓,已立案,07-3381581,1040038307,806高雄市前鎮區806中山二路91號7樓之6
中華民國逢甲建築協會,社會團體,100/11/18,王銘鴻,已立案,04-24517250轉3328,1010227805,臺中市文華路100號
中華九龍太子協會,社會團體,103/04/06,吳金燕,已立案,06-6894299,1030147888,735臺南市下營區仁里里工業街2巷5號
中華咖啡發展協會,社會團體,099/07/15,黃重慶,已立案,02-8242-3639,0990173296,235新北市中和區中山路2段315巷2號7樓
中華民國生福生命關懷協會,社會團體,092/03/30,江彥廷,解散,04-2251-1986,0920016718,408臺中市南屯區黎明路1段751-8號
中華民國玄世慈善功德會,社會團體,100/07/23,曾漢松,已立案,03-5896534,1000156916,305新竹縣新埔鎮褒忠路632巷21號
中華民國形象研究發展協會,社會團體,083/04/09,侯純純,已立案,04-2465-6060,9064459,407臺中市西屯區40764福科路525號4樓之2
中華民國生活法律推廣協會,社會團體,088/08/08,廖俊偉,已立案,04-24251666,8838358,406臺中市北屯區后庄北路207號1樓
台灣製品推廣協會,社會團體,100/03/06,張漢文,已立案,02-28108270,1000062956,111臺北市士林區延平北路7段259號
台灣亞太民俗體育推廣協會,社會團體,099/11/07,鄭文建,已立案,06-5955725,0990241201,718臺南市關廟區南花里園東街65巷1號1樓
中華民國車輛越野休閒協會,社會團體,084/05/28,賴德川,解散,02-2909-3093,,249新北市八里區龍源里五洲新村十三號之六
中華民國社區發展協會,社會團體,056/12/23,謝孟雄,已立案,02-25381111#1151,0940043303,104臺北市中山區10462大直街70號
中華民國羅志祥國際歌迷協會,社會團體,097/11/14,羅銘松,已立案,02-2711-0380,0980011578,臺北市忠孝東路4段2號5樓之1
中華海峽兩岸客家文創產業園區觀光示範基地協進會,社會團體,103/09/20,葉直育,已立案,,1031402542,806高雄市前鎮區三多三路139號12樓之14
台灣海洋箱網養殖發展協會,社會團體,088/08/13,陳連生,已立案,06-926-4967,8833711,880澎湖縣馬公市文光路104-2號
台灣楚商協會,社會團體,103/11/12,周守訓,已立案,02-27315108,1040016097,106臺北市大安區106忠孝東路3段136號8樓之1
中華海洋事業協會,社會團體,073/10/20,張清風,已立案,02-22364316,0990030828,202基隆市中正區202北寧路2號(國立台灣海洋大學延平技術大樓1樓102室)
中華民國就業服務展望會,社會團體,098/09/26,張瀅鵑,已立案,0931263283,0980234840,364苗栗縣大湖鄉新開村3鄰新開28號之7
